STUDY_ID	SAMPLE_ID	REST	MAPK8IP2	ATP1A3	RUNDC3A	CDK5R1	TLCD3B
gbm_tcga_pan_can_atlas_2018	TCGA-41-2575-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-41-2573-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-41-2572-01	-1.117	-0.4727	-0.6235	-0.753	-0.7831	-0.0204
gbm_tcga_pan_can_atlas_2018	TCGA-41-2571-01	-1.4778	1.4205	2.1619	1.8247	3.7405	3.0559
gbm_tcga_pan_can_atlas_2018	TCGA-32-5222-01	1.0382	-0.909	-0.7108	-0.6683	-0.6245	-0.5706
gbm_tcga_pan_can_atlas_2018	TCGA-32-4719-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-4213-01	-0.4298	-0.5105	-0.5605	-0.6787	-0.5111	-0.1889
gbm_tcga_pan_can_atlas_2018	TCGA-32-4211-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-4210-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-4209-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-4208-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-2638-01	1.0667	-0.2548	-0.5365	-0.5491	-0.6465	-0.5858
gbm_tcga_pan_can_atlas_2018	TCGA-32-2634-01	0.2696	-0.368	-0.1603	-0.0156	0.7483	0.4729
gbm_tcga_pan_can_atlas_2018	TCGA-32-2632-01	0.0147	-0.4462	-0.3991	-0.4179	-0.6179	-0.641
gbm_tcga_pan_can_atlas_2018	TCGA-32-2616-01	0.4946	-0.1725	-0.549	-0.8388	0.0839	-0.8425
gbm_tcga_pan_can_atlas_2018	TCGA-32-2615-01	0.0179	-0.2505	-0.5668	-0.3904	-0.4601	-0.7939
gbm_tcga_pan_can_atlas_2018	TCGA-32-2495-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-2494-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-2491-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1991-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1987-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1986-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1982-01	-1.0878	0.0798	0.2484	-0.0629	-0.4078	-0.1702
gbm_tcga_pan_can_atlas_2018	TCGA-32-1980-01	-0.8645	4.0498	2.6499	3.7082	1.7535	0.1126
gbm_tcga_pan_can_atlas_2018	TCGA-32-1979-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1978-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1977-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1976-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1973-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-32-1970-01	-0.0334	0.2157	0.3825	-0.0694	-0.1951	-0.0691
gbm_tcga_pan_can_atlas_2018	TCGA-28-6450-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-5220-01	-0.3559	-0.3305	-0.5377	-0.4564	-0.5742	0.0334
gbm_tcga_pan_can_atlas_2018	TCGA-28-5219-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-5218-01	0.8321	-1.172	-0.7723	-0.936	-0.9537	-0.9742
gbm_tcga_pan_can_atlas_2018	TCGA-28-5216-01	-0.1828	-0.6935	-0.3434	-0.3241	-0.3675	-0.5724
gbm_tcga_pan_can_atlas_2018	TCGA-28-5215-01	0.8271	0.1154	0.1956	-0.2414	0.2676	0.3253
gbm_tcga_pan_can_atlas_2018	TCGA-28-5214-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-5213-01	-0.5386	-1.1148	-0.7491	-0.7747	-0.8798	-0.9476
gbm_tcga_pan_can_atlas_2018	TCGA-28-5211-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-5209-01	1.5195	-0.5114	-0.6112	-0.7753	-0.7539	-0.5676
gbm_tcga_pan_can_atlas_2018	TCGA-28-5208-01	1.2032	-0.9254	-0.7038	-0.4788	-0.6555	-0.5855
gbm_tcga_pan_can_atlas_2018	TCGA-28-5207-01	0.0826	0.358	0.5221	0.9261	0.598	-0.2935
gbm_tcga_pan_can_atlas_2018	TCGA-28-5204-01	1.1254	-0.5409	-0.588	-0.6418	-0.6716	-0.7621
gbm_tcga_pan_can_atlas_2018	TCGA-28-2514-01	0.0328	1.197	1.9945	0.8432	0.4571	1.1442
gbm_tcga_pan_can_atlas_2018	TCGA-28-2513-01	0.2804	-0.2101	-0.7208	-0.6722	-0.7995	-0.6619
gbm_tcga_pan_can_atlas_2018	TCGA-28-2509-01	1.5819	-0.7987	-0.756	-0.8991	-0.7943	-0.8925
gbm_tcga_pan_can_atlas_2018	TCGA-28-2506-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-2502-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-2499-01	0.2856	-0.9266	-0.6406	-0.7123	-0.4896	-0.8304
gbm_tcga_pan_can_atlas_2018	TCGA-28-1757-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1756-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1755-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1753-01	-0.2532	-0.1089	-0.1143	-0.1728	0.4072	-0.1046
gbm_tcga_pan_can_atlas_2018	TCGA-28-1752-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1751-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1750-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1749-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-28-1747-01	-0.9553	-0.0377	-0.0265	-0.0166	-0.1142	-0.3117
